Day,Temperature,Description
Tonight,39,"Mostly clear, with a low around 39. Southwest wind 6 to 9 mph."
Tuesday,62,"Sunny, with a high near 62. Southwest wind 6 to 12 mph."
Tuesday Night,45,"Mostly cloudy, with a low around 45. Southwest wind 3 to 9 mph."
Wednesday,59,"A slight chance of rain showers after 2pm. Mostly cloudy. High near 59, with temperatures falling to around 56 in the afternoon. South wind 5 to 14 mph. Chance of precipitation is 20%."
Wednesday Night,47,"A slight chance of rain showers. Mostly cloudy, with a low around 47. South wind 9 to 14 mph. Chance of precipitation is 20%."
Thursday,64,"A chance of rain showers. Cloudy. High near 64, with temperatures falling to around 62 in the afternoon. Chance of precipitation is 50%."
Thursday Night,49,"A chance of rain showers. Cloudy, with a low around 49. Chance of precipitation is 50%."
Friday,55,"Rain showers likely. Cloudy, with a high near 55. Chance of precipitation is 60%."
Friday Night,44,"A chance of rain showers. Cloudy, with a low around 44. Chance of precipitation is 50%."
Saturday,50,"Rain showers likely. Cloudy, with a high near 50. Chance of precipitation is 70%."
Saturday Night,41,"Rain showers likely before 2am. Mostly cloudy, with a low around 41. Chance of precipitation is 70%."
Sunday,57,"Mostly sunny, with a high near 57."
Sunday Night,42,"A slight chance of rain showers after 2am. Partly cloudy, with a low around 42."
Monday,55,"A chance of rain showers. Mostly cloudy, with a high near 55. Chance of precipitation is 40%."
